#feat_name	source_int	mapped_int	source_id	mapped_id	source_length	mapped_length	source_start	source_stop	source_strand	source_sub_start	source_sub_stop	mapped_start	mapped_stop	mapped_strand	coverage	recip	asm_unit	
Line:1	1	1	chr19	chr19	1001	1001	35280663	35281663	+	35280663	35281663	35466635	35467635	+	1.00000	First Pass	Primary Assembly
Line:2	1	1	chr1	chr1	1001	1001	291630	292630	+	291630	292630	291492	292492	+	1.00000	First Pass	Primary Assembly
Line:3	1	1	chr20	chr20	1001	1001	34358748	34359748	+	34358748	34359748	35498233	35499233	+	1.00000	First Pass	Primary Assembly
Line:4	1	1	chr8	chr8	1001	1001	8479731	8480731	+	8479731	8480731	8508273	8509273	+	1.00000	First Pass	Primary Assembly
Line:5	1	1	chr1	chr1	1001	1001	50630536	50631536	+	50630536	50631536	51516060	51517060	+	1.00000	First Pass	Primary Assembly
Line:6	1	1	chr9	chr9	1001	1001	42206195	42207195	+	42206195	42207195	45402303	45403303	+	1.00000	First Pass	Primary Assembly
Line:7	1	1	chr3	chr3	1001	1001	43502469	43503469	+	43502469	43503469	41489347	41490347	+	1.00000	First Pass	Primary Assembly
Line:8	1	1	chr5	chr5	1001	1001	8827349	8828349	+	8827349	8828349	289641	290641	-	1.00000	First Pass	Primary Assembly
Line:9	1	1	chr18	chr18	1001	1001	955910	956910	+	955910	956910	956247	957247	+	1.00000	First Pass	Primary Assembly
Line:10	1	1	chr1	chr1	1001	1001	45319854	45320854	+	45319854	45320854	46191312	46192312	+	1.00000	First Pass	Primary Assembly
Line:11	1	1	chr16	chr16	1001	1001	31161485	31162485	+	31161485	31162485	31529965	31530965	+	1.00000	First Pass	Primary Assembly
Line:12	1	1	chr6	chr6	1001	1001	16163175	16164175	+	16163175	16164175	16212456	16213456	+	1.00000	First Pass	Primary Assembly
Line:13	1	1	chr8	chr8	1001	1001	24449876	24450876	+	24449876	24450876	24373132	24374132	+	1.00000	First Pass	Primary Assembly
Line:14	1	1	chr6	chr6	1001	1001	18886734	18887734	+	18886734	18887734	19090579	19091579	+	1.00000	First Pass	Primary Assembly
Line:15	1	1	chr20	chr20	1001	1001	24781067	24782067	+	24781067	24782067	25940484	25941484	+	1.00000	First Pass	Primary Assembly
Line:16	1	1	chr10	chr10	1001	1001	44177696	44178696	+	44177696	44178696	44755224	44756224	+	1.00000	First Pass	Primary Assembly
Line:17	1	1	chr6	chr6	1001	1001	18789606	18790606	+	18789606	18790606	18993067	18994067	+	1.00000	First Pass	Primary Assembly
Line:18	1	1	chr9	chr9	1001	1001	39728676	39729676	+	39728676	39729676	42405733	42406733	+	1.00000	First Pass	Primary Assembly
Line:19	1	1	chr13	chr13	1001	1001	34483921	34484921	+	34483921	34484921	35696078	35697078	+	1.00000	First Pass	Primary Assembly
Line:20	1	1	chr10	chr10	1001	1001	44058755	44059755	+	44058755	44059755	44638922	44639922	+	1.00000	First Pass	Primary Assembly
Line:21	1	1	chr2	chr2	1001	1001	45404405	45405405	+	45404405	45405405	42329524	42330524	+	1.00000	First Pass	Primary Assembly
Line:22	1	1	chr9	chr9	1001	1001	41443883	41444883	+	41443883	41444883	44159619	44160619	+	1.00000	First Pass	Primary Assembly
Line:23	1	1	chr13	chr13	1001	1001	31018980	31019980	+	31018980	31019980	32231408	32232408	+	1.00000	First Pass	Primary Assembly
Line:24	1	1	chr18	chr18	1001	1001	60335109	60336109	+	60335109	60336109	56054445	56055445	+	1.00000	First Pass	Primary Assembly
Line:25	1	1	chr16	chr16	1001	1001	31883575	31884575	+	31883575	31884575	32364031	32365031	+	1.00000	First Pass	Primary Assembly
Line:26	1	1	chr6	chr6	1001	506	18877424	18878424	+	18877424	18877929	19081266	19081771	+	0.50549	First Pass	Primary Assembly
Line:27	1	1	chr16	chr16	1001	1001	24195845	24196845	+	24195845	24196845	24546698	24547698	+	1.00000	First Pass	Primary Assembly
Line:28	1	1	chr5	chr5	1001	1001	35849328	35850328	+	35849328	35850328	36108241	36109241	+	1.00000	First Pass	Primary Assembly
Line:29	1	1	chr19	chr19	1001	1001	48244863	48245863	+	48244863	48245863	48366816	48367816	+	1.00000	First Pass	Primary Assembly
Line:30	1	1	chr16	chr16	1001	1001	19104947	19105947	+	19104947	19105947	21207044	21208044	-	1.00000	First Pass	Primary Assembly
Line:31	1	1	chr15	chr15	1001	754	33718619	33719619	+	33718619	33719372	36281385	36282138	+	0.75325	First Pass	Primary Assembly
Line:32	1	1	chr5	chr5	1001	1001	39836412	39837412	+	39836412	39837412	40502488	40503488	-	1.00000	First Pass	Primary Assembly
Line:33	1	1	chr13	chr13	1001	1001	40591061	40592061	+	40591061	40592061	42036654	42037654	+	1.00000	First Pass	Primary Assembly
Line:34	1	1	chr5	chr5	1001	1001	41788165	41789165	+	41788165	41789165	38549196	38550196	-	1.00000	First Pass	Primary Assembly
Line:35	1	1	chr20	chr20	1001	1001	24562931	24563931	+	24562931	24563931	25708552	25709552	+	1.00000	First Pass	Primary Assembly
Line:36	1	1	chr3	chr3	1001	1001	16198378	16199378	+	16198378	16199378	21612169	21613169	-	1.00000	First Pass	Primary Assembly
Line:37	1	1	chr8	chr8	1001	1001	8479734	8480734	+	8479734	8480734	8508276	8509276	+	1.00000	First Pass	Primary Assembly
Line:38	1	1	chr9	chr9	1001	1001	42160493	42161493	+	42160493	42161493	45356600	45357600	+	1.00000	First Pass	Primary Assembly
Line:39	1	1	chr13	chr13	1001	1001	25792054	25793054	+	25792054	25793054	26979028	26980028	+	1.00000	First Pass	Primary Assembly
Line:40	1	1	chr8	chr8	1001	1001	24449850	24450850	+	24449850	24450850	24373106	24374106	+	1.00000	First Pass	Primary Assembly
Line:41	1	1	chr7	chr7	1001	1001	3001501	3002501	+	3001501	3002501	3021380	3022380	+	1.00000	First Pass	Primary Assembly
Line:42	1	1	chr8	chr8	1001	1001	45722034	45723034	+	45722034	45723034	46574550	46575550	+	1.00000	First Pass	Primary Assembly
Line:43	1	1	chr10	chr10	1001	1001	44058692	44059692	+	44058692	44059692	44638859	44639859	+	1.00000	First Pass	Primary Assembly
Line:44	1	1	chr6	chr6	1001	1001	21504303	21505303	+	21504303	21505303	21374915	21375915	-	1.00000	First Pass	Primary Assembly
Line:45	1	1	chr8	chr8	1001	1001	8479896	8480896	+	8479896	8480896	8508438	8509438	+	1.00000	First Pass	Primary Assembly
Line:46	1	1	chr12	chr12	1001	1001	339013	340013	+	339013	340013	343983	344983	+	1.00000	First Pass	Primary Assembly
Line:47	1	1	chr16	chr16	1001	1001	1838517	1839517	+	1838517	1839517	1855385	1856385	+	1.00000	First Pass	Primary Assembly
Line:48	1	1	chr9	chr9	1001	1001	5189694	5190694	+	5189694	5190694	5238559	5239559	+	1.00000	First Pass	Primary Assembly
Line:49	1	1	chr20	chr20	1001	1001	26565494	26566494	+	26565494	26566494	27727021	27728021	+	1.00000	First Pass	Primary Assembly
Line:50	1	1	chr2	chr2	1001	1001	47380379	47381379	+	47380379	47381379	44292821	44293821	+	1.00000	First Pass	Primary Assembly
Line:51	1	1	chr1	chr1	1001	1001	43453885	43454885	+	43453885	43454885	44316425	44317425	+	1.00000	First Pass	Primary Assembly
Line:52	1	1	chr8	chr8	1001	1001	24193115	24194115	+	24193115	24194115	24116353	24117353	+	1.00000	First Pass	Primary Assembly
Line:53	1	1	chr14	chr14	1001	1001	5164497	5165497	+	5164497	5165497	5275180	5276180	+	1.00000	First Pass	Primary Assembly
Line:54	1	1	chr1	chr1	1001	1001	42382965	42383965	+	42382965	42383965	43228732	43229732	+	1.00000	First Pass	Primary Assembly
Line:55	1	1	chr9	chr9	1001	1001	41373243	41374243	+	41373243	41374243	44088981	44089981	+	1.00000	First Pass	Primary Assembly
Line:56	1	1	chr9	chr9	1001	1001	46172366	46173366	+	46172366	46173366	49375786	49376786	+	1.00000	First Pass	Primary Assembly
Line:57	1	1	chr10	chr10	1001	1001	38711872	38712872	+	38711872	38712872	39260050	39261050	+	1.00000	First Pass	Primary Assembly
Line:58	1	1	chr8	chr8	1001	1001	9509255	9510255	+	9509255	9510255	9501364	9502364	+	1.00000	First Pass	Primary Assembly
Line:59	1	1	chr18	chr18	1001	1001	54631942	54632942	+	54631942	54632942	50358113	50359113	+	1.00000	First Pass	Primary Assembly
Line:60	1	1	chr20	chr20	1001	1001	35966013	35967013	+	35966013	35967013	37061180	37062180	+	1.00000	First Pass	Primary Assembly
Line:61	1	1	chr8	chr8	1001	1001	24449785	24450785	+	24449785	24450785	24373041	24374041	+	1.00000	First Pass	Primary Assembly
Line:62	1	1	chr9	chr9	1001	1001	2046990	2047990	+	2046990	2047990	2062164	2063164	+	1.00000	First Pass	Primary Assembly
Line:63	1	1	chr9	chr9	1001	1001	42329274	42330274	+	42329274	42330274	45525385	45526385	+	1.00000	First Pass	Primary Assembly
Line:64	1	1	chr20	chr20	1001	1001	45310761	45311761	+	45310761	45311761	46439208	46440208	+	1.00000	First Pass	Primary Assembly
Line:65	1	1	chr18	chr18	1001	1001	13211295	13212295	+	13211295	13212295	13239682	13240682	+	1.00000	First Pass	Primary Assembly
Line:66	1	1	chr17	chr17	1001	1001	3964940	3965940	+	3964940	3965940	3694317	3695317	+	1.00000	First Pass	Primary Assembly
Line:67	1	1	chr13	chr13	1001	1001	34275691	34276691	+	34275691	34276691	35487850	35488850	+	1.00000	First Pass	Primary Assembly
Line:68	1	1	chr19	chr19	1001	1001	37048807	37049807	+	37048807	37049807	37230575	37231575	+	1.00000	First Pass	Primary Assembly
Line:69	1	1	chr14	chr14	1001	1001	47119368	47120368	+	47119368	47120368	46413822	46414822	+	1.00000	First Pass	Primary Assembly
Line:70	1	1	chr15	chr15	1001	1001	46695868	46696868	+	46695868	46696868	47475921	47476921	+	1.00000	First Pass	Primary Assembly
Line:71	1	1	chr1	chr1	1001	1001	13798192	13799192	+	13798192	13799192	29533445	29534445	-	1.00000	First Pass	Primary Assembly
Line:72	1	1	chr3	chr3	1001	995	15097440	15098440	+	15097440	15098434	14267867	14268861	+	0.99401	First Pass	Primary Assembly
Line:73	1	1	chr17	chr17	1001	1001	5914557	5915557	+	5914557	5915557	5647314	5648314	+	1.00000	First Pass	Primary Assembly
Line:74	1	1	chr3	chr3	1001	1001	2716661	2717661	+	2716661	2717661	2745569	2746569	+	1.00000	First Pass	Primary Assembly
Line:75	1	1	chr18	chr18	1001	1001	16403544	16404544	+	16403544	16404544	16149958	16150958	+	1.00000	First Pass	Primary Assembly
Line:76	1	1	chr13	chr13	1001	1001	31134756	31135756	+	31134756	31135756	32347196	32348196	+	1.00000	First Pass	Primary Assembly
Line:77	1	1	chr19	chr19	1001	1001	16327267	16328267	+	16327267	16328267	13707207	13708207	-	1.00000	First Pass	Primary Assembly
Line:78	1	1	chr18	chr18	1001	1001	2841140	2842140	+	2841140	2842140	2851508	2852508	+	1.00000	First Pass	Primary Assembly
Line:79	1	1	chr6	chr6	1001	1001	47399052	47400052	+	47399052	47400052	47930292	47931292	+	1.00000	First Pass	Primary Assembly
Line:80	1	1	chr2	chr2	1001	1001	45762973	45763973	+	45762973	45763973	42688115	42689115	+	1.00000	First Pass	Primary Assembly
Line:81	1	1	chr13	chr13	1001	1001	32535265	32536265	+	32535265	32536265	33748640	33749640	+	1.00000	First Pass	Primary Assembly
Line:82	1	1	chr10	chr10	1001	1001	29637042	29638042	+	29637042	29638042	30381644	30382644	+	1.00000	First Pass	Primary Assembly
Line:83	1	1	chr7	chr7	1001	1001	2556424	2557424	+	2556424	2557424	2576277	2577277	+	1.00000	First Pass	Primary Assembly
Line:84	1	1	chr15	chr15	1001	1001	4688987	4689987	+	4688987	4689987	4708321	4709321	+	1.00000	First Pass	Primary Assembly
Line:85	1	1	chr4	chr4	1001	1001	45580172	45581172	+	45580172	45581172	48709179	48710179	+	1.00000	First Pass	Primary Assembly
Line:86	1	1	chr6	chr6	1001	1001	20406025	20407025	+	20406025	20407025	20606109	20607109	+	1.00000	First Pass	Primary Assembly
Line:87	1	1	chr16	chr16	1001	1001	17070060	17071060	+	17070060	17071060	17249566	17250566	+	1.00000	First Pass	Primary Assembly
Line:88	1	1	chr13	chr13	1001	1001	9690766	9691766	+	9690766	9691766	12169613	12170613	-	1.00000	First Pass	Primary Assembly
Line:89	1	1	chr4	chr4	1001	1001	6891259	6892259	+	6891259	6892259	6967460	6968460	+	1.00000	First Pass	Primary Assembly
Line:90	1	1	chr17	chr17	1001	1001	36955675	36956675	+	36955675	36956675	36665194	36666194	+	1.00000	First Pass	Primary Assembly
Line:91	1	1	chr10	chr10	1001	1001	16759823	16760823	+	16759823	16760823	26195371	26196371	-	1.00000	First Pass	Primary Assembly
Line:92	1	1	chr7	chr7	1001	1001	15382184	15383184	+	15382184	15383184	15469292	15470292	+	1.00000	First Pass	Primary Assembly
Line:93	1	1	chr8	chr8	1001	1001	45034638	45035638	+	45034638	45035638	45887136	45888136	+	1.00000	First Pass	Primary Assembly
Line:94	1	1	chr18	chr18	1001	1001	59082659	59083659	+	59082659	59083659	54810774	54811774	+	1.00000	First Pass	Primary Assembly
